scorer,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000
bodyparts,Head,Head,Head,Snout,Snout,Snout,LeftEar,LeftEar,LeftEar,RightEar,RightEar,RightEar,Shoulder,Shoulder,Shoulder,Spine1,Spine1,Spine1,Spine2,Spine2,Spine2,Spine3,Spine3,Spine3,Spine4,Spine4,Spine4,TailBase,TailBase,TailBase,Tail1,Tail1,Tail1,Tail2,Tail2,Tail2,TailEnd,TailEnd,TailEnd,LeftPaw1,LeftPaw1,LeftPaw1,RightPaw1,RightPaw1,RightPaw1,LeftPaw2,LeftPaw2,LeftPaw2,RightPaw2,RightPaw2,RightPaw2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
8,,,7.564787665614858e-05,3.860118105647135,503.63663129607073,0.0001429633266525343,,,0.00011598392302403226,,,0.0002362664381507784,,,4.519389767665416e-05,,,0.00010941088839899749,0.0,0.0,0.00010363894398324192,,,5.3283052693586797e-05,,,5.767171751358546e-05,,,9.872638474917039e-05,,,7.776676648063585e-05,0.0,0.0,0.00012537887960206717,0.0,0.0,8.952860662247986e-05,,,2.317748476343695e-05,,,5.500250335899182e-05,,,2.682284321053885e-05,,,5.234393393038772e-05
9,,,7.569391163997352e-05,3.8512475586680495,503.527491152504,0.00019540975335985422,,,0.0001664071314735338,,,0.0002235348365502432,,,4.9956957809627056e-05,,,0.00015466393961105496,0.0,0.0,0.0001489870046498254,,,6.113971903687343e-05,,,4.700363570009358e-05,,,0.00013762313756160438,,,5.070677070762031e-05,0.0,0.0,0.00011223570618312806,0.0,0.0,9.675084584159777e-05,,,2.9266986530274153e-05,,,5.047312151873484e-05,,,2.178416798415128e-05,,,3.380627458682284e-05
10,,,8.241028263000771e-05,3.840833878670922,503.4183653236248,0.00022047934180591255,,,0.00015780389367137104,,,0.0002948831534013152,,,5.9964677348034456e-05,,,0.00016214937204495072,0.0,0.0,0.00016887352103367448,,,7.407370139844716e-05,,,8.784452802501619e-05,,,0.00015917167183943093,,,9.020964353112504e-05,0.0,0.0,0.0001064509924617596,0.0,0.0,8.936825179262087e-05,,,3.4485579817555845e-05,,,5.2078950830036774e-05,,,2.1451125576277263e-05,,,4.466680184123106e-05
11,,,6.551622209371999e-05,3.8289410186421367,503.30625662768216,0.00010031670535681769,,,0.00010939451021840796,,,0.00015665488899685442,,,4.443708166945726e-05,,,0.00012058293214067817,0.0,0.0,0.00011055812501581386,,,5.54850630578585e-05,,,4.690445712185465e-05,,,8.268215606221929e-05,,,3.861511868308298e-05,0.0,0.0,7.29678722564131e-05,0.0,0.0,6.134688010206446e-05,,,2.1340962121030316e-05,,,2.8296719392528757e-05,,,1.3385388228925876e-05,,,2.397133175691124e-05
12,,,6.411311187548563e-05,3.815557558471833,503.1989759429921,0.0001517041673650965,,,9.400747512700036e-05,,,0.00024920733994804323,,,4.368339432403445e-05,,,0.0001461942447349429,0.0,0.0,0.00013488982222042978,,,4.676577736972831e-05,,,5.935060835327022e-05,,,0.00010876313172047958,,,4.510868893703446e-05,0.0,0.0,7.658010872546583e-05,0.0,0.0,5.412642713054083e-05,,,1.7301719708484598e-05,,,3.234863834222779e-05,,,9.997414963436313e-06,,,2.5308210751973093e-05
13,,,3.9431004552170634e-05,3.8007410875835843,503.08551056530746,7.880278280936182e-05,,,6.128863606136292e-05,,,0.00014059389650356025,,,2.8247568479855545e-05,,,8.619630534667522e-05,0.0,0.0,8.374051685677841e-05,,,3.2386018574470654e-05,,,3.6511253711069e-05,,,6.524582568090409e-05,,,2.9703120162594132e-05,0.0,0.0,5.072852945886552e-05,0.0,0.0,3.71980931959115e-05,,,1.0226298400084488e-05,,,1.9367138520465232e-05,,,7.180287411756581e-06,,,1.5225400602503214e-05
14,,,5.381751179811545e-05,3.7844997776227047,502.9795274994153,0.00011831960728159174,,,8.417733624810353e-05,,,0.0001567889266880229,,,3.603538061724976e-05,,,9.894351387629285e-05,0.0,0.0,0.0001111709643737413,,,4.9158385081682354e-05,,,4.255678504705429e-05,,,7.389710663119331e-05,,,3.973949060309678e-05,0.0,0.0,6.609076808672398e-05,0.0,0.0,5.6066470278892666e-05,,,1.3569877410191111e-05,,,2.9208100386313163e-05,,,1.0326022675144486e-05,,,2.162016971851699e-05
15,,,7.160832319641486e-05,3.766873989661383,502.86563948415204,0.0001909565762616694,,,0.00010384481720393524,,,0.0002043310960289091,,,4.961346712661907e-05,,,0.00010827254300238565,0.0,0.0,0.00011220703163417056,,,4.970008012605831e-05,,,6.162603676784784e-05,,,9.837921970756724e-05,,,5.911269545322284e-05,0.0,0.0,8.554123633075505e-05,0.0,0.0,6.858055712655187e-05,,,1.9628456357168034e-05,,,4.038364204461686e-05,,,1.6970574506558478e-05,,,3.760803156183101e-05
16,,,0.00015397484821733087,3.7478803301709025,502.75978990440655,0.0005445339484140277,,,0.0003186672111041844,,,0.0005163544556125998,,,0.00012120312749175355,,,0.00027446827152743936,0.0,0.0,0.0001553884067106992,,,8.156240073731169e-05,,,0.00015217690088320524,,,0.00031197568750940263,,,0.00028284729341976345,0.0,0.0,0.00025029960670508444,0.0,0.0,0.00019892462296411395,,,6.89174048602581e-05,,,0.00020343415962997824,,,9.569674875820056e-05,,,0.00015573090058751404
17,,,5.1929779147030786e-05,3.727561473252874,502.64651199794883,0.0001399878819938749,,,0.00014905762509442866,,,0.00018584686040412635,,,4.725158214569092e-05,,,0.0002433240006212145,0.0,0.0,0.00017383511294610798,,,3.870913860737346e-05,,,4.0439368603983894e-05,,,7.492828444810584e-05,,,4.0284328861162066e-05,0.0,0.0,6.994843715801835e-05,0.0,0.0,5.6937660701805726e-05,,,1.4465230378846172e-05,,,2.5652258045738563e-05,,,9.84013058769051e-06,,,2.3831764337955974e-05
